,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation
92,ABCG5,0.918862317,-1.3055513,2.81829363,-0.46324176,0.643191087,NA,Not Significant
93,ABCG8,0.217209119,-1.131968038,4.994897891,-0.226624861,0.820715459,NA,Not Significant
94,ABHD1,183.1901485,0.585183918,0.201923033,2.898054328,0.003754855,0.01049424,Not Significant
95,ABHD10,1370.010652,-0.522620419,0.081697002,-6.397057518,1.58E-10,9.87E-10,Not Significant
96,ABHD11,403.0031695,-0.39007483,0.134982493,-2.889817934,0.00385465,0.010755625,Not Significant
97,ABHD11-AS1,10.18066957,-0.258004697,0.853626665,-0.302245358,0.762465029,0.861954138,Not Significant
98,ABHD12,1928.749827,-0.140355949,0.065302008,-2.149335882,0.031607784,0.070946428,Not Significant
99,ABHD12B,9.883161075,0.939451928,0.859866844,1.092555126,0.274589174,0.430883944,Not Significant
100,ABHD13,925.5342841,0.230317263,0.09271115,2.484245572,0.012982624,0.03219295,Not Significant
101,ABHD14A,228.770356,-0.484002026,0.180760485,-2.677587557,0.007415447,0.019522066,Not Significant
102,ABHD14A-ACY1,318.2414959,-0.19174746,0.150642919,-1.272860755,0.203067457,0.340909048,Not Significant
103,ABHD14B,1555.481325,-0.181536145,0.07375548,-2.461324157,0.013842523,0.034101153,Not Significant
104,ABHD15,334.965363,-1.050815429,0.165020458,-6.367788825,1.92E-10,1.19E-09,Down
105,ABHD16A,1875.981322,0.735001572,0.068294013,10.76231337,5.19E-27,6.38E-26,Not Significant
106,ABHD16B,135.3670402,-0.379140118,0.231588169,-1.637130773,0.101603148,0.19348488,Not Significant
107,ABHD17A,5616.24476,-0.215522611,0.04470924,-4.820538446,1.43E-06,6.43E-06,Not Significant
108,ABHD17B,894.6184925,-0.229310024,0.101437198,-2.260610785,0.023783369,0.055155434,Not Significant
109,ABHD17C,1301.849899,0.629622339,0.079000538,7.96984875,1.59E-15,1.29E-14,Not Significant
110,ABHD18,514.6733753,0.097040255,0.118964974,0.815704418,0.414669212,0.58101728,Not Significant
111,ABHD2,3278.040606,0.218230016,0.057190554,3.815840253,0.00013572,0.00048362,Not Significant
112,ABHD3,157.4979874,-0.454401221,0.212946662,-2.133873413,0.032853144,0.073427284,Not Significant
113,ABHD4,2027.420456,-0.470971791,0.068495413,-6.875961009,6.16E-12,4.19E-11,Not Significant
114,ABHD5,1304.730195,-0.072679354,0.080077793,-0.907609363,0.364084646,0.53081825,Not Significant
115,ABHD6,245.1783236,-1.453336895,0.179370497,-8.102430006,5.39E-16,4.47E-15,Down
116,ABHD8,524.7314264,-0.444512129,0.119464478,-3.720872808,0.000198535,0.000690284,Not Significant
117,ABI1,3687.219864,0.420271159,0.051916957,8.095065271,5.72E-16,4.74E-15,Not Significant
118,ABI2,7203.449377,0.300042996,0.040903066,7.335464686,2.21E-13,1.62E-12,Not Significant
119,ABI3,2028.241029,-0.136529762,0.065915001,-2.071300316,0.03833074,0.083842383,Not Significant
120,ABI3BP,18346.80251,0.140975775,0.04058964,3.473195952,0.0005143,0.00168352,Not Significant
121,ABITRAM,790.4333099,0.02524326,0.097507251,0.258885981,0.795723215,0.883783001,Not Significant
122,ABL1,7052.292219,-0.179005223,0.041508608,-4.312484359,1.61E-05,6.47E-05,Not Significant
123,ABL2,8282.722434,0.011844907,0.041747371,0.283728199,0.776618683,0.871801601,Not Significant
124,ABLIM1,1884.196727,-0.683255893,0.068404854,-9.988412414,1.71E-23,1.88E-22,Not Significant
125,ABLIM2,11.29517206,-0.117563388,0.799539992,-0.147038784,0.883101408,0.938407151,Not Significant
126,ABLIM3,4956.225741,-0.432044603,0.04719867,-9.153745344,5.50E-20,5.37E-19,Not Significant
127,ABO,0.466281069,-2.191413372,4.14518366,-0.528664964,0.597037886,NA,Not Significant
128,ABR,7785.105664,0.80177787,0.042307612,18.95114929,4.32E-80,1.36E-78,Not Significant
129,ABR-AS1,0,NA,NA,NA,NA,NA,Not Significant
130,ABRA,0.251303545,1.699763444,4.990618013,0.340591774,0.733410923,NA,Not Significant
131,ABRACL,3329.648278,0.112095487,0.05889228,1.903398674,0.056988544,0.1180696,Not Significant
132,ABRAXAS1,1647.585339,-0.228684926,0.070502927,-3.243623149,0.001180198,0.003621986,Not Significant
133,ABRAXAS2,1176.2701,0.382354663,0.083786456,4.56344239,5.03E-06,2.13E-05,Not Significant
134,ABT1,1588.038424,0.174583514,0.072705256,2.401250256,0.016339158,0.039513873,Not Significant
135,ABTB1,623.4329417,-0.404300688,0.109544889,-3.690730716,0.000223611,0.000771173,Not Significant
136,ABTB2,199.0349207,5.047440059,0.33332138,15.14286321,8.45E-52,1.83E-50,Up
137,ABTB3,137.322017,3.145374823,0.276977594,11.35606233,6.92E-30,9.36E-29,Up
